"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Reach,Likes,Shares,Follows,Comments,Saves
18230236429264359,17841461458191255,locwithaush,"Aushanae Haller","A full side by side progress update before my 8 month retwist this weekend ☺️‼️

•

I lowkey already hit 8 months but it’s mid week & I don’t have time for a retwist till the weekend so it’s gonna have to wait a bit 🤭 The month 8 progress pic is coming soon 😃

•
•
•

#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"03/21/2024 14:21",https://www.instagram.com/p/C4yovlwOiSw/,"IG image",,Lifetime,26197,1581,42,43,7,193
18012742697260845,17841461458191255,locwithaush,"Aushanae Haller","I think this length is so cute 🫶🏽 • this was a couple days post my last retwist 💕

•
•

#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"03/16/2024 09:14",https://www.instagram.com/p/C4lNmFAu2Sv/,"IG image",,Lifetime,3154,187,7,1,19,11
18014676185473491,17841461458191255,locwithaush,"Aushanae Haller","Idk what my locs be doing but I just be going with it at this point 🤷🏽‍♀️ heavy on the BANANA ‼️

•
•

#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",6,"03/11/2024 15:05",https://www.instagram.com/reel/C4Y9qjsuAub/,"IG reel",,Lifetime,4112,188,4,3,3,9
17968289756574784,17841461458191255,locwithaush,"Aushanae Haller","Sometimes I’m so scared of tension damage and product buildup in my #locs that I don’t do anything with my hair… most days I leave it middle part down or in a bandana ‼️ even with my cowrie shells, I take them down the next day or two. 

But I feel there’s so many styles we can do without hella product or tension 🤩 the pony’s I have in rn aren’t even wrapped twice around my hair. And I try not to force what doesn’t naturally fall into the pony. Gonna start exploring some different things to do without damaging my locs ☺️

Who else is scared to style their locs 🫣✋🏽?

•
•

#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",10,"03/07/2024 13:21",https://www.instagram.com/reel/C4Okn1LuhsF/,"IG reel",,Lifetime,2601,96,3,1,9,7
18017045708279164,17841461458191255,locwithaush,"Aushanae Haller","This Texture Tuesday we hyping up the ones who think they’re in the ugly stage 🙌🏽 At Week 11, some may have thought my locs were in the ugly stage… bet they aint saying that now 😉 if you think you’re going through the ugly stage now, I’m here to tell you there’s no such thing, but its only up from here! 💕 
•
•
#thisisyoursign #locs #texturetuesday",0,"03/05/2024 16:28",https://www.instagram.com/p/C4JxYAyOowX/,"IG image",,Lifetime,13158,740,23,29,12,64
17999595224406184,17841461458191255,locwithaush,"Aushanae Haller","Happy Sunday 🫶🏽‼️ What do you have planned to do today? 
• 
Day 220
•
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"03/03/2024 08:00",https://www.instagram.com/p/C4DtrsXt4sX/,"IG image",,Lifetime,1961,94,3,3,1,5
18097843543363260,17841461458191255,locwithaush,"Aushanae Haller","When I first started locking up I honestly didn’t know who to believe about the whole “don’t wash your hair” thing.. I started in 2 strand twists and ended up rinsing my hair daily in the shower in the beginning. Yes I did have the occasional unraveling in the back and I lowkey still do towards the root sometimes, but overall I’m 7 months in and they look amazing ‼️🫶🏽 

Water causes your hair to shrink up causing it tangle into one another and helping the loc process.. if you have coils maybe you shouldn’t rinse as often, but in my experience water is your bestie 🫶🏽

•
•

#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",4,"02/29/2024 08:50",https://www.instagram.com/reel/C38EWJhOPto/,"IG reel",,Lifetime,5893,371,11,18,29,37
18416347414015910,17841461458191255,locwithaush,"Aushanae Haller","She blows me away with her growth every time 💕🫶🏽
•
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",6,"02/28/2024 16:22",https://www.instagram.com/reel/C36Tr5XO1sm/,"IG reel",,Lifetime,3299,262,12,4,3,19
18058719538524584,17841461458191255,locwithaush,"Aushanae Haller","7 months 🔐  ft. Cowrie Shells 🫶🏽🐚
•
On my way to the @locmeetup this weekend ‼️ pictures coming soon 💕

#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"02/24/2024 13:44",https://www.instagram.com/p/C3vusb3uO0C/,"IG carousel",,Lifetime,5189,470,18,12,13,38
18094079896401115,17841461458191255,locwithaush,"Aushanae Haller","The progress in half a year 🫶🏽 lowkey missing my red y’all 😭 but I love having a solid measure of how much my hair has grown since locking up. All that black wasn’t there pre-loc ‼️ they’ve thicken up so perfectly too 😍
•
Month 7 coming soon 💕
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"02/18/2024 08:00",https://www.instagram.com/p/C3fqkliub9w/,"IG image",,Lifetime,33791,1823,67,70,20,160
18059364667515507,17841461458191255,locwithaush,"Aushanae Haller","Some close ups this #texturetuesday 💕 • Day 208
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"02/13/2024 09:30",https://www.instagram.com/p/C3S83T7OlOn/,"IG carousel",,Lifetime,3350,145,1,4,2,8
18114006247359350,17841461458191255,locwithaush,"Aushanae Haller","Day 206 🫶🏽 • Happy Sunday everyone 💕
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",0,"02/11/2024 11:46",https://www.instagram.com/p/C3OC0HLOGXi/,"IG image",,Lifetime,3461,234,7,9,1,18
18171757609292289,17841461458191255,locwithaush,"Aushanae Haller","The beauty amongst chaos 💕 • Day 196
•
•
•
#locjourney #locs #locstyles #starterlocs #loclivin #locd #loccommunity #naturalhair #explorepage",19,"02/01/2024 17:23",https://www.instagram.com/reel/C205azJuuzf/,"IG reel",,Lifetime,2178,97,5,1,5,5
